#time(sec):	Om (Hz)	tswh0:	tswh1:	tswh2:	tswh3:	tswh4:	tswh5:	tswh6:	tswh7:	tswm0:	tswm1:	tswm2:	tswm3:	tswm4:	tswm5:	tswm6:	tswm7:	tswl0:	tswl1:	tswl2:	tswl3:	tswl4:	tswl5:	tswl6:	tswl7:
294.0	0.0140	40.1460	40.0560	40.0899	40.2136	40.3846	40.2894	40.2810	40.2853	40.2870	40.1554	40.1840	40.3304	40.4448	40.4451	40.4484	40.2989	40.4174	40.3444	40.3716	40.5646	40.5925	40.5526	40.5951	40.4930
297.4	0.0140	40.1584	40.0646	40.0790	40.1896	40.3822	40.2927	40.2834	40.2912	40.2919	40.1637	40.1734	40.3250	40.4396	40.4482	40.4484	40.3029	40.4174	40.3432	40.3629	40.5503	40.5768	40.5471	40.5861	40.5049
300.8	0.0140	40.1696	40.0757	40.0703	40.1657	40.3711	40.2981	40.2882	40.2947	40.2968	40.1720	40.1655	40.3115	40.4228	40.4492	40.4484	40.3068	40.4188	40.3444	40.3592	40.5349	40.5586	40.5415	40.5759	40.5075
304.2	0.0140	40.1771	40.0843	40.0616	40.1444	40.3625	40.2981	40.2929	40.2912	40.3005	40.1793	40.1629	40.2967	40.4047	40.4440	40.4484	40.3068	40.4202	40.3466	40.3505	40.5160	40.5381	40.5373	40.5683	40.5049
307.8	0.0140	40.1858	40.0954	40.0540	40.1351	40.3478	40.2992	40.2989	40.2924	40.3017	40.1876	40.1695	40.2832	40.3944	40.4358	40.4474	40.3121	40.4202	40.3489	40.3418	40.4959	40.5164	40.5220	40.5632	40.5102
311.3	0.0140	40.1883	40.1053	40.0529	40.1258	40.3183	40.3014	40.3037	40.2924	40.3054	40.1949	40.1748	40.2698	40.3789	40.4296	40.4474	40.3134	40.4287	40.3512	40.3368	40.4758	40.4959	40.5192	40.5581	40.5168
314.7	0.0140	40.1858	40.1139	40.0572	40.1059	40.2914	40.3036	40.3084	40.2935	40.3079	40.2043	40.1827	40.2590	40.3686	40.4245	40.4463	40.3174	40.4343	40.3534	40.3306	40.4569	40.4838	40.5039	40.5568	40.5274
318.1	0.0140	40.1858	40.1238	40.0627	40.0873	40.2779	40.3025	40.3108	40.2924	40.3104	40.2105	40.1906	40.2482	40.3557	40.4172	40.4453	40.3187	40.4414	40.3557	40.3282	40.4381	40.4718	40.4887	40.5555	40.5353
321.5	0.0140	40.1833	40.1312	40.0649	40.0701	40.2645	40.3036	40.3156	40.2900	40.3128	40.2178	40.2011	40.2442	40.3454	40.4100	40.4442	40.3214	40.4485	40.3591	40.3257	40.4239	40.4598	40.4859	40.5632	40.5485
324.9	0.0140	40.1833	40.1361	40.0616	40.0529	40.2571	40.3046	40.3216	40.2912	40.3153	40.2251	40.2117	40.2388	40.3287	40.4059	40.4463	40.3240	40.4541	40.3637	40.3232	40.4157	40.4489	40.4914	40.5759	40.5538
